ID,ID_original,GUID,Date (GMT),URL,Post_Title,Q1,Q2,Q3_1_og,Q3_2_og,Train,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_clean,text_content,image_data_url,final_input,D2_GPT_4o_finetune,D2_GPT_4o_finetune_raw,D2_GPT_4o_finetune_1,D2_GPT_4o_finetune_2,D2_GPT_4o_finetune_3,D2_GPT_4o_finetune_4,D2_GPT_4o_finetune_5,D2_GPT_4o_finetune_6,D2_GPT_4o_finetune_7,D2_GPT_4o_finetune_8
989,4719,f10212aa-31cc-4748-a0e8-c0a3db3a1a98,2018-01-08 14:17:04,http://www.newsweek.com/clean-dream-act-hunger-strike-dreamers-jail-752372,Jailed Immigrants Launch Hunger Strike until Congress Passes a ‘Clean’ DREAM Act,1,2,8,7,1,0,0,0,0,0,0,1,1,"[0, 0, 0, 0, 0, 0, 1, 1]",Jailed Immigrants Launch Hunger Strike until Congress Passes a ‘Clean’ DREAM Act,,Jailed Immigrants Launch Hunger Strike until Congress Passes a ‘Clean’ DREAM Act,"[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
110,552,acf6c4c2-ce94-4c25-9fe3-aaa8b059786b,2018-01-10 00:40:32,http://thehill.com/podcasts/hillcast/368157-listen-trumps-unusual-immigration-meeting,Listen: Trump's unusual immigration meeting,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Listen: Trump's unusual immigration meeting,,Listen: Trump's unusual immigration meeting,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1166,5514,b8c69f81-c592-4d18-ae3d-f3c86706e509,2018-01-10 14:24:58,https://www.yahoo.com/news/m/f154972f-3b1e-3994-a5ca-af5776deb2ed/ss_not-losing-it%3A-trump-lets.html,Not losing it: Trump lets live TV cover White House immigration summit,1,2,6,99,1,0,0,0,0,0,1,0,0,"[0, 0, 0, 0, 0, 1, 0, 0]",Not losing it: Trump lets live TV cover White House immigration summit,,Not losing it: Trump lets live TV cover White House immigration summit,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1084,5146,54f419c7-91a0-4ec5-8370-4cb6e35da226,2018-01-11 15:55:29,https://www.washingtonpost.com/politics/4th-immigrant-teen-in-custody-says-us-preventing-abortion/2018/01/11/8beb5792-f6e6-11e7-9af7-a50bc3300042_story.html,4th immigrant teen in custody says US preventing abortion,1,1,3,4,1,0,0,1,1,0,0,0,0,"[0, 0, 1, 1, 0, 0, 0, 0]",4th immigrant teen in custody says US preventing abortion,,4th immigrant teen in custody says US preventing abortion,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,0,0,0
1467,6801,b4121087-567e-4532-89f3-dcab7b7a9d54,2018-01-09 03:06:09,http://www.breitbart.com/big-government/2018/01/08/jeff-flake-admits-gop-establishment-working-against-trumps-popular-immigration-agenda-in-daca-meetings/,Jeff Flake Admits GOP Establishment Working Against Trump’s Popular Immigration Agenda in DACA Meetings,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Jeff Flake Admits GOP Establishment Working Against Trump’s Popular Immigration Agenda in DACA Meetings,,Jeff Flake Admits GOP Establishment Working Against Trump’s Popular Immigration Agenda in DACA Meetings,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1233,5746,e50ff89f-77e3-419f-bf5b-f08a3025a196,2018-01-09 18:00:20,http://www.breitbart.com/video/2018/01/09/rubio-cant-shut-govt-daca-dems-oppose-wall-symbolic-political-reasons/,"Rubio: 'You Can't' Shut Down the Gov't Over DACA - Dems Oppose Wall for Symbolic, Political Reasons - Breitbart",1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]","Rubio: 'You Can't' Shut Down the Gov't Over DACA - Dems Oppose Wall for Symbolic, Political Reasons - Breitbart",,"Rubio: 'You Can't' Shut Down the Gov't Over DACA - Dems Oppose Wall for Symbolic, Political Reasons - Breitbart","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",0,0,0,0,0,1,1,0
1770,8189,c72642aa-ff11-4613-9444-5d174078f007,2018-01-11 18:42:19,http://www.breitbart.com/news/german-official-denies-notion-saxony-no-go-area-for-migrants/,German official denies notion Saxony no-go area for migrants,2,99,99,99,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",German official denies notion Saxony no-go area for migrants,,German official denies notion Saxony no-go area for migrants,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0
212,1025,11f9716f-50b8-4cd2-bec0-26f71786c73b,2018-01-10 20:36:16,https://www.nytimes.com/2018/01/10/opinion/citizenship-census.html,Letter Citizenship and the Census The Latino Community Foundation says questioning citizenship in an age of increased immigration enforcement will likely result in an undercount.,1,2,7,99,1,0,0,0,0,0,0,1,0,"[0, 0, 0, 0, 0, 0, 1, 0]",Letter Citizenship and the Census The Latino Community Foundation says questioning citizenship in an age of increased immigration enforcement will likely result in an undercount.,,Letter Citizenship and the Census The Latino Community Foundation says questioning citizenship in an age of increased immigration enforcement will likely result in an undercount.,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,1,0
974,4643,22a1d210-7cc0-498e-b45f-2e057f398271,2018-01-11 01:35:49,http://www.theblaze.com/news/2018/01/10/rand-paul-tosses-cold-water-on-a-border-wall-heres-why/,Rand Paul tosses cold water on a border wall – here’s why,1,2,6,7,1,0,0,0,0,0,1,1,0,"[0, 0, 0, 0, 0, 1, 1, 0]",Rand Paul tosses cold water on a border wall – here’s why,,Rand Paul tosses cold water on a border wall – here’s why,"[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,1,0,0
1122,5327,136e6f79-418c-42aa-b47d-17df079d259c,2018-01-13 01:23:20,https://www.yahoo.com/news/m/9d804ffa-8bb1-33cd-86e9-9a4ca652215b/ss_immigrants-with-jobs%2C.html,"Immigrants with jobs, education worry that Trump will force them into the shadows",1,2,1,6,1,1,0,0,0,0,1,0,0,"[1, 0, 0, 0, 0, 1, 0, 0]","Immigrants with jobs, education worry that Trump will force them into the shadows",,"Immigrants with jobs, education worry that Trump will force them into the shadows","[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,1,0,1,0,0
